Terminal/Stream,Liquid Type,January,February,March,April,May,June,July,August,September,October,November,December
BONNY,Crude Oil,6351778.0,4604102.0,4260566.0,4158173.0,3605864.0,4536573.0,4584388.0,4894497.0,5589773.0,5765964.0,7051541.0,7274190.0
BONNY,Condensate,587495.0,583490.0,627057.0,543214.0,640026.0,568474.0,564610.0,584706.0,511021.0,494915.0,501329.0,509570.0
BONNY,Blend Total,6939273.0,5187592.0,4887623.0,4701387.0,4245890.0,5105047.0,5148998.0,5479203.0,6100794.0,6260879.0,7552870.0,7783759.0
BRASS,Crude Oil,735680.0,617189.0,686188.0,647053.0,635929.0,648849.0,664387.0,718104.0,842900.0,850352.0,775490.0,905544.0
BRASS,Condensate,160901.0,135498.0,158529.0,140724.0,153167.0,144677.0,148961.0,161633.0,201979.0,201451.0,179148.0,180417.0
BRASS,Blend Total,896581.0,752687.0,844717.0,787777.0,789096.0,793526.0,813348.0,879737.0,1044879.0,1051803.0,954638.0,1085961.0
QUA IBOE,Crude Oil,4251198.0,3664686.0,4058695.0,4284484.0,3962759.0,3261367.0,3343465.0,3073804.0,2833479.0,4114319.0,4171753.0,4132506.0
QUA IBOE,Condensate,45075.0,44684.0,37225.0,16091.0,3896.0,18795.0,18725.0,19933.0,18906.0,23269.0,20737.0,23315.0
QUA IBOE,Blend Total,4296273.0,3709370.0,4095920.0,4300575.0,3966655.0,3280162.0,3362190.0,3093737.0,2852385.0,4137588.0,4192490.0,4155821.0
FORCADOS,Crude Oil,7799819.0,6796892.0,6675119.0,6289085.0,5927475.0,6160694.0,6813681.0,8126915.0,6341130.0,4513085.0,7835499.0,7793585.0
FORCADOS,Condensate,945301.0,792727.0,1056080.0,889232.0,994777.0,940663.0,948400.0,879296.0,950962.0,580502.0,607466.0,706369.0
FORCADOS,Blend Total,8745120.0,7589619.0,7731199.0,7178317.0,6922252.0,7101357.0,7762081.0,9006211.0,7292092.0,5093587.0,8442965.0,8499954.0
ESCRAVOS (Oil Terminal),Crude Oil,4178516.0,3684339.0,4012721.0,3866374.0,4113862.0,3996696.0,4385991.0,4209219.0,4080483.0,4276766.0,3992925.0,3807346.0
ESCRAVOS (Oil Terminal),Condensate,58310.0,42217.0,99559.0,76909.0,90752.0,85677.0,83962.0,63477.0,44532.0,62495.0,80350.0,102380.0
ESCRAVOS (Oil Terminal),Blend Total,4236826.0,3726556.0,4112280.0,3943283.0,4204614.0,4082373.0,4469953.0,4272696.0,4125015.0,4339261.0,4073275.0,3909726.0
ODUDU (AMENAM BLEND),Crude Oil,2934994.0,2722999.0,2836178.0,2659792.0,2630817.0,2572785.0,2468442.0,2583858.0,2462691.0,2526821.0,2423720.0,2446481.0
ODUDU (AMENAM BLEND),Condensate,6413.0,6403.0,9051.0,6427.0,7739.0,6970.0,6789.0,5246.0,5821.0,5534.0,5462.0,5498.0
ODUDU (AMENAM BLEND),Blend Total,2941407.0,2729402.0,2845229.0,2666219.0,2638556.0,2579755.0,2475231.0,2589104.0,2468512.0,2532355.0,2429182.0,2451979.0
TULJA - OKWUIBOME,Crude Oil,1762863.0,1732677.0,1859018.0,1837364.0,1972551.0,1928150.0,1992021.0,2008090.0,2029787.0,2212884.0,2219874.0,2250725.0
TULJA - OKWUIBOME,Condensate,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TULJA - OKWUIBOME,Blend Total,1762863.0,1732677.0,1859018.0,1837364.0,1972551.0,1928150.0,1992021.0,2008090.0,2029787.0,2212884.0,2219874.0,2250725.0
AJE,Crude Oil,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AJE,Condensate,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
