Terminal/Stream,Liquid Type,January,February,March,April,May,June,July,August,September,October,November,December
BONNY,Crude Oil,7570173.0,5892185.0,7360738.0,7079233.0,6673050.0,6625912.0,7567542.0,5850190.0,5924385.0,7535315.0,7751499.0,7884015.0
BRASS,Crude Oil,860312.0,726912.0,937437.0,619261.0,857711.0,710231.0,820821.0,846393.0,935010.0,946439.0,981254.0,914165.0
QUA IBOE,Crude Oil,4580997.0,4227836.0,3504376.0,4296506.0,4921690.0,5036322.0,4503690.0,4946259.0,4640056.0,2683665.0,3980764.0,5074619.0
FORCADOS,Crude Oil,7997419.0,6919400.0,5798465.0,8409659.0,7089537.0,7901129.0,8059799.0,8084121.0,6853852.0,8585208.0,8327198.0,8569954.0
ESCRAVOS (Oil Terminal),Crude Oil,4261436.0,3794400.0,4186992.0,4082589.0,4439405.0,4047894.0,4335432.0,4080954.0,4129694.0,4329068.0,3829825.0,4091466.0
ODUDU (AMENAM BLEND),Crude Oil,2324122.0,2063093.0,2313424.0,2106782.0,1890759.0,2061295.0,2124883.0,1846043.0,2005854.0,2111519.0,1888702.0,1970777.0
TULJA - OKWUIBOME,Crude Oil,2260611.0,1899107.0,2110574.0,2065631.0,2119797.0,2024726.0,2080781.0,2009287.0,1627130.0,1581339.0,1591292.0,1561674.0
OKORO (Ex Ima Terminal),Crude Oil,168432.0,141970.0,160308.0,158837.0,154386.0,143657.0,137526.0,72429.0,134175.0,147289.0,145562.0,163212.0
OTAKPIPO,Crude Oil,210114.0,125233.0,114411.0,148290.0,212252.0,220666.0,185672.0,215945.0,206713.0,204048.0,194965.0,199316.0
ANTAN,Crude Oil,264704.0,233546.0,257473.0,167148.0,177763.0,198236.0,161708.0,151628.0,145910.0,167509.0,29839.0,136740.0
OKONO,Crude Oil,368016.0,328620.0,341155.0,332322.0,341073.0,325350.0,313118.0,276264.0,300620.0,311506.0,223297.0,208877.0
YOHO,Crude Oil,841110.0,735301.0,812328.0,806886.0,732578.0,783002.0,808663.0,803395.0,645913.0,,,
OKWORI,Crude Oil,129477.0,86686.0,86918.0,78706.0,77801.0,73065.0,68244.0,68706.0,61706.0,74535.0,47038.0,70616.0
EBOK,Crude Oil,283239.0,278452.0,286394.0,275731.0,296667.0,280451.0,298184.0,308011.0,282152.0,292223.0,117096.0,271376.0
AJAPA,Crude Oil,120796.0,40447.0,26327.0,28623.0,82996.0,37631.0,38156.0,,77500.0,76666.0,45488.0,67198.0
BONGA,Crude Oil,4016863.0,3689442.0,3905815.0,3692392.0,3678389.0,3531538.0,3684667.0,3454658.0,3240435.0,3705503.0,3772460.0,3800029.0
ERHA,Crude Oil,2180775.0,1814482.0,2244465.0,1853711.0,2074660.0,2083548.0,2232772.0,2280798.0,2162424.0,2228593.0,1670786.0,348698.0
USAN,Crude Oil,1009371.0,1095734.0,896037.0,1051648.0,1054246.0,1048737.0,841578.0,848681.0,655744.0,185463.0,715920.0,772998.0
EGINA,Crude Oil,2154382.0,1865708.0,2201323.0,1917489.0,1994991.0,1877766.0,2119176.0,1859576.0,1850074.0,1731560.0,1597919.0,1689231.0
OYO / OBODO,Crude Oil,504401.0,200390.0,269271.0,154564.0,273828.0,157664.0,266239.0,124136.0,73301.0,250322.0,34573.0,25972.0
ABO,Crude Oil,381476.0,340525.0,373638.0,356982.0,368695.0,338918.0,364306.0,379200.0,365377.0,380296.0,340317.0,338097.0
PENNINGTON,Crude Oil,425878.0,408590.0,126576.0,425649.0,417266.0,213225.0,467338.0,493049.0,289508.0,364190.0,442063.0,131761.0
UGO OCHA (JONES CREEK),Crude Oil,466560.0,475847.0,656192.0,481783.0,866982.0,967395.0,895330.0,865518.0,835070.0,939477.0,988679.0,1175701.0
SEA EAGLE (EA),Crude Oil,519168.0,469055.0,520495.0,471272.0,500602.0,476606.0,487140.0,466163.0,444477.0,631737.0,394454.0,359977.0
ANYALA MADU (CJ Blend),Crude Oil,1534466.0,897054.0,1561722.0,1472628.0,1178584.0,1586958.0,1480409.0,1631658.0,1251366.0,1595384.0,1266216.0,1611862.0
NEMBE,Crude Oil,966056.0,1080581.0,1145283.0,881323.0,1268028.0,1161601.0,1189629.0,1197272.0,1084787.0,955906.0,1212574.0,1119722.0
UTAPATE,Crude Oil,1299239.0,1189559.0,1226151.0,1155357.0,1297440.0,1250688.0,1197164.0,1305569.0,1471004.0,1421550.0,1490367.0,1522716.0
